Fact_ID,NP_Key,Tumor_Key,Time_Key,Targeting_Key,Organ_Key,Administration_Key,Efficiency_Key,Biodistribution (%ID),Tumor_%ID,Liver_%ID,Spleen_%ID,Selectivity_Index
1,1,1,16,1,17,37,3,1.64,1.64,29.03,2.76,0.051588549858446
2,1,1,23,1,17,37,3,2.06,2.06,31.7,3.05,0.0592805755395683
3,1,1,28,1,17,37,3,2.01,2.01,21.74,2.47,0.0830235439900867
4,1,1,16,1,4,37,3,0.4174,1.64,29.03,2.76,0.051588549858446
5,1,1,23,1,4,37,3,0.3728,2.06,31.7,3.05,0.0592805755395683
6,1,1,28,1,4,37,3,0.1669,2.01,21.74,2.47,0.0830235439900867
7,1,1,16,1,7,37,3,29.03,1.64,29.03,2.76,0.051588549858446
8,1,1,23,1,7,37,3,31.7,2.06,31.7,3.05,0.0592805755395683
9,1,1,28,1,7,37,3,21.74,2.01,21.74,2.47,0.0830235439900867
10,1,1,16,1,15,37,3,2.76,1.64,29.03,2.76,0.051588549858446
11,1,1,23,1,15,37,3,3.05,2.06,31.7,3.05,0.0592805755395683
12,1,1,28,1,15,37,3,2.47,2.01,21.74,2.47,0.0830235439900867
13,1,1,16,1,8,37,3,0.27,1.64,29.03,2.76,0.051588549858446
14,1,1,23,1,8,37,3,0.41,2.06,31.7,3.05,0.0592805755395683
15,1,1,28,1,8,37,3,0.2,2.01,21.74,2.47,0.0830235439900867
16,1,1,16,1,6,37,3,1.07,1.64,29.03,2.76,0.051588549858446
17,1,1,23,1,6,37,3,1.22,2.06,31.7,3.05,0.0592805755395683
18,1,1,28,1,6,37,3,0.54,2.01,21.74,2.47,0.0830235439900867
19,1,1,16,1,1,37,3,8.33,1.64,29.03,2.76,0.051588549858446
20,1,1,23,1,1,37,3,3.736,2.06,31.7,3.05,0.0592805755395683
21,1,1,28,1,1,37,3,0.245,2.01,21.74,2.47,0.0830235439900867
22,2,2,22,2,17,34,1,0.96,0.96,0.0,0.0,0.0
23,2,2,23,2,17,34,1,1.77,1.77,0.0,0.0,0.0
24,2,2,24,2,17,34,1,1.79,1.79,0.0,0.0,0.0
25,3,3,14,2,17,5,1,10.09,10.09,0.0,0.0,0.0
26,3,3,23,2,17,5,1,4.1,4.1,0.0,0.0,0.0
27,3,3,28,2,17,5,1,1.6,1.6,0.0,0.0,0.0
28,3,3,14,2,1,5,1,0.119,10.09,0.0,0.0,0.0
29,3,3,23,2,1,5,1,0.054,4.1,0.0,0.0,0.0
30,3,3,28,2,1,5,1,0.007,1.6,0.0,0.0,0.0
31,4,4,5,2,17,26,3,0.14,0.14,1.23,0.61,0.0760869565217391
32,4,4,9,2,17,26,4,0.44,0.44,1.82,1.49,0.1329305135951661
33,4,4,11,2,17,26,2,0.12,0.12,2.14,1.4,0.0338983050847457
34,4,4,14,2,17,26,2,0.09,0.09,1.82,1.33,0.0285714285714285
35,4,4,23,2,17,26,1,0.02,0.02,2.27,4.04,0.0031695721077654
36,4,4,5,2,4,26,3,0.4519,0.14,1.23,0.61,0.0760869565217391
37,4,4,9,2,4,26,4,0.3496,0.44,1.82,1.49,0.1329305135951661
38,4,4,11,2,4,26,2,0.2046,0.12,2.14,1.4,0.0338983050847457
39,4,4,14,2,4,26,2,0.2217,0.09,1.82,1.33,0.0285714285714285
40,4,4,23,2,4,26,1,0.1449,0.02,2.27,4.04,0.0031695721077654
41,4,4,5,2,7,26,3,1.23,0.14,1.23,0.61,0.0760869565217391
42,4,4,9,2,7,26,4,1.82,0.44,1.82,1.49,0.1329305135951661
43,4,4,11,2,7,26,2,2.14,0.12,2.14,1.4,0.0338983050847457
44,4,4,14,2,7,26,2,1.82,0.09,1.82,1.33,0.0285714285714285
45,4,4,23,2,7,26,1,2.27,0.02,2.27,4.04,0.0031695721077654
46,4,4,5,2,15,26,3,0.61,0.14,1.23,0.61,0.0760869565217391
47,4,4,9,2,15,26,4,1.49,0.44,1.82,1.49,0.1329305135951661
48,4,4,11,2,15,26,2,1.4,0.12,2.14,1.4,0.0338983050847457
49,4,4,14,2,15,26,2,1.33,0.09,1.82,1.33,0.0285714285714285
50,4,4,23,2,15,26,1,4.04,0.02,2.27,4.04,0.0031695721077654
51,4,4,5,2,8,26,3,0.7,0.14,1.23,0.61,0.0760869565217391
52,4,4,9,2,8,26,4,0.45,0.44,1.82,1.49,0.1329305135951661
53,4,4,11,2,8,26,2,0.49,0.12,2.14,1.4,0.0338983050847457
54,4,4,14,2,8,26,2,1.16,0.09,1.82,1.33,0.0285714285714285
55,4,4,23,2,8,26,1,1.6,0.02,2.27,4.04,0.0031695721077654
56,4,4,5,2,6,26,3,0.3,0.14,1.23,0.61,0.0760869565217391
57,4,4,9,2,6,26,4,0.21,0.44,1.82,1.49,0.1329305135951661
58,4,4,11,2,6,26,2,0.16,0.12,2.14,1.4,0.0338983050847457
59,4,4,14,2,6,26,2,0.32,0.09,1.82,1.33,0.0285714285714285
60,4,4,23,2,6,26,1,0.16,0.02,2.27,4.04,0.0031695721077654
61,4,4,5,2,1,26,3,8.287,0.14,1.23,0.61,0.0760869565217391
62,4,4,9,2,1,26,4,5.426,0.44,1.82,1.49,0.1329305135951661
63,4,4,11,2,1,26,2,3.601,0.12,2.14,1.4,0.0338983050847457
64,4,4,14,2,1,26,2,1.135,0.09,1.82,1.33,0.0285714285714285
65,4,4,23,2,1,26,1,0.444,0.02,2.27,4.04,0.0031695721077654
66,4,4,5,2,3,26,3,0.0638121,0.14,1.23,0.61,0.0760869565217391
67,4,4,9,2,3,26,4,0.0134508,0.44,1.82,1.49,0.1329305135951661
68,4,4,11,2,3,26,2,0.0134508,0.12,2.14,1.4,0.0338983050847457
69,4,4,14,2,3,26,2,0.0638121,0.09,1.82,1.33,0.0285714285714285
70,4,4,23,2,3,26,1,0.0638121,0.02,2.27,4.04,0.0031695721077654
71,5,5,23,2,17,25,1,1.72,1.72,0.0,0.0,0.0
72,5,5,24,2,17,25,1,1.18,1.18,0.0,0.0,0.0
73,5,5,25,2,17,25,1,0.97,0.97,0.0,0.0,0.0
74,5,5,23,2,1,25,1,37.984,1.72,0.0,0.0,0.0
75,5,5,24,2,1,25,1,10.887,1.18,0.0,0.0,0.0
76,5,5,25,2,1,25,1,3.629,0.97,0.0,0.0,0.0
77,6,5,23,2,17,25,1,0.95,0.95,0.0,0.0,0.0
78,6,5,24,2,17,25,1,0.53,0.53,0.0,0.0,0.0
79,6,5,25,2,17,25,1,0.28,0.28,0.0,0.0,0.0
80,6,5,23,2,1,25,1,1.532,0.95,0.0,0.0,0.0
81,6,5,24,2,1,25,1,1.048,0.53,0.0,0.0,0.0
82,6,5,25,2,1,25,1,0.806,0.28,0.0,0.0,0.0
83,7,6,9,2,17,4,1,0.2,0.2,22.33,0.25,0.0088573959255978
84,7,6,16,2,17,4,2,1.37,1.37,36.16,0.3,0.0375754251234229
85,7,6,23,2,17,4,3,2.79,2.79,38.47,0.54,0.0715201230453729
86,7,6,9,2,4,4,1,0.4734,0.2,22.33,0.25,0.0088573959255978
87,7,6,16,2,4,4,2,1.4424,1.37,36.16,0.3,0.0375754251234229
88,7,6,23,2,4,4,3,0.3141,2.79,38.47,0.54,0.0715201230453729
89,7,6,9,2,7,4,1,22.33,0.2,22.33,0.25,0.0088573959255978
90,7,6,16,2,7,4,2,36.16,1.37,36.16,0.3,0.0375754251234229
91,7,6,23,2,7,4,3,38.47,2.79,38.47,0.54,0.0715201230453729
92,7,6,9,2,15,4,1,0.25,0.2,22.33,0.25,0.0088573959255978
93,7,6,16,2,15,4,2,0.3,1.37,36.16,0.3,0.0375754251234229
94,7,6,23,2,15,4,3,0.54,2.79,38.47,0.54,0.0715201230453729
95,7,6,9,2,8,4,1,1.25,0.2,22.33,0.25,0.0088573959255978
96,7,6,16,2,8,4,2,1.59,1.37,36.16,0.3,0.0375754251234229
97,7,6,23,2,8,4,3,0.05,2.79,38.47,0.54,0.0715201230453729
98,7,6,9,2,6,4,1,1.02,0.2,22.33,0.25,0.0088573959255978
99,7,6,16,2,6,4,2,2.23,1.37,36.16,0.3,0.0375754251234229
100,7,6,23,2,6,4,3,0.13,2.79,38.47,0.54,0.0715201230453729
101,7,6,9,2,1,4,1,37.831,0.2,22.33,0.25,0.0088573959255978
102,7,6,16,2,1,4,2,21.266,1.37,36.16,0.3,0.0375754251234229
103,7,6,23,2,1,4,3,8.918,2.79,38.47,0.54,0.0715201230453729
104,7,6,9,2,16,4,1,0.13317,0.2,22.33,0.25,0.0088573959255978
105,7,6,16,2,16,4,2,0.54297,1.37,36.16,0.3,0.0375754251234229
106,7,6,23,2,16,4,3,0.06124,2.79,38.47,0.54,0.0715201230453729
107,7,6,9,2,5,4,1,1.39146,0.2,22.33,0.25,0.0088573959255978
108,7,6,16,2,5,4,2,7.67747,1.37,36.16,0.3,0.0375754251234229
109,7,6,23,2,5,4,3,1.58407,2.79,38.47,0.54,0.0715201230453729
110,7,6,9,2,9,4,1,10.44016,0.2,22.33,0.25,0.0088573959255978
