NPs ID,NP_Class,INPs_Core,Targeting Strategy,Shape,Size (nm),Size_Category,Zeta Potential (mv),Zeta_Category,Responsive release,Tumor Cell,Tumor Site,Tumor Size ( mm³),Administration Dosages (mg/kg),Organ or tissue,Time point (h),Biodistribution (%ID),Tumor_%ID,Liver_%ID,Selectivity_Index,Targeting_Efficiency,Shell Type,MW Shell,HAS_PEG,Spleen_%ID
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Tumor,6.0,1.64,1.64,29.03,0.051588549858446,Moderate,PEG,4441,Yes,2.76
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Tumor,24.0,2.06,2.06,31.7,0.0592805755395683,Moderate,PEG,4441,Yes,3.05
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Tumor,168.0,2.01,2.01,21.74,0.0830235439900867,Moderate,PEG,4441,Yes,2.47
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Heart,6.0,0.4174,1.64,29.03,0.051588549858446,Moderate,PEG,4441,Yes,2.76
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Heart,24.0,0.3728,2.06,31.7,0.0592805755395683,Moderate,PEG,4441,Yes,3.05
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Heart,168.0,0.1669,2.01,21.74,0.0830235439900867,Moderate,PEG,4441,Yes,2.47
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Liver,6.0,29.03,1.64,29.03,0.051588549858446,Moderate,PEG,4441,Yes,2.76
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Liver,24.0,31.7,2.06,31.7,0.0592805755395683,Moderate,PEG,4441,Yes,3.05
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Liver,168.0,21.74,2.01,21.74,0.0830235439900867,Moderate,PEG,4441,Yes,2.47
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Spleen,6.0,2.76,1.64,29.03,0.051588549858446,Moderate,PEG,4441,Yes,2.76
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Spleen,24.0,3.05,2.06,31.7,0.0592805755395683,Moderate,PEG,4441,Yes,3.05
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Spleen,168.0,2.47,2.01,21.74,0.0830235439900867,Moderate,PEG,4441,Yes,2.47
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Lungs,6.0,0.27,1.64,29.03,0.051588549858446,Moderate,PEG,4441,Yes,2.76
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Lungs,24.0,0.41,2.06,31.7,0.0592805755395683,Moderate,PEG,4441,Yes,3.05
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Lungs,168.0,0.2,2.01,21.74,0.0830235439900867,Moderate,PEG,4441,Yes,2.47
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Kidneys,6.0,1.07,1.64,29.03,0.051588549858446,Moderate,PEG,4441,Yes,2.76
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Kidneys,24.0,1.22,2.06,31.7,0.0592805755395683,Moderate,PEG,4441,Yes,3.05
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Kidneys,168.0,0.54,2.01,21.74,0.0830235439900867,Moderate,PEG,4441,Yes,2.47
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Blood,6.0,8.33,1.64,29.03,0.051588549858446,Moderate,PEG,4441,Yes,2.76
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Blood,24.0,3.736,2.06,31.7,0.0592805755395683,Moderate,PEG,4441,Yes,3.05
INPs-P1,Inorganic,Gold,Active,Rod,37.5,Optimal Range,-18.0,Negative,No,HeLa cell,Cervix,100.0,20.0,Blood,168.0,0.245,2.01,21.74,0.0830235439900867,Moderate,PEG,4441,Yes,2.47
INPs-P2,Inorganic,Gold,Passive,Rod,44.7,Optimal Range,0.0,Near Neutral,No,CT26.WT cell,Colon,100.0,12.05,Tumor,16.0,0.96,0.96,0.0,0.0,Very Poor,PEG,Unknown,Yes,0.0
INPs-P2,Inorganic,Gold,Passive,Rod,44.7,Optimal Range,0.0,Near Neutral,No,CT26.WT cell,Colon,100.0,12.05,Tumor,24.0,1.77,1.77,0.0,0.0,Very Poor,PEG,Unknown,Yes,0.0
INPs-P2,Inorganic,Gold,Passive,Rod,44.7,Optimal Range,0.0,Near Neutral,No,CT26.WT cell,Colon,100.0,12.05,Tumor,48.0,1.79,1.79,0.0,0.0,Very Poor,PEG,Unknown,Yes,0.0
INPs-P3,Inorganic,Gold,Passive,Spherical,38.3,Optimal Range,-5.0,Near Neutral,No,9L.E29 cell,Brain,100.0,1.0,Tumor,4.0,10.09,10.09,0.0,0.0,Very Poor,PEG,5000,Yes,0.0
INPs-P3,Inorganic,Gold,Passive,Spherical,38.3,Optimal Range,-5.0,Near Neutral,No,9L.E29 cell,Brain,100.0,1.0,Tumor,24.0,4.1,4.1,0.0,0.0,Very Poor,PEG,5000,Yes,0.0
INPs-P3,Inorganic,Gold,Passive,Spherical,38.3,Optimal Range,-5.0,Near Neutral,No,9L.E29 cell,Brain,100.0,1.0,Tumor,168.0,1.6,1.6,0.0,0.0,Very Poor,PEG,5000,Yes,0.0
INPs-P3,Inorganic,Gold,Passive,Spherical,38.3,Optimal Range,-5.0,Near Neutral,No,9L.E29 cell,Brain,100.0,1.0,Blood,4.0,0.119,10.09,0.0,0.0,Very Poor,PEG,5000,Yes,0.0
INPs-P3,Inorganic,Gold,Passive,Spherical,38.3,Optimal Range,-5.0,Near Neutral,No,9L.E29 cell,Brain,100.0,1.0,Blood,24.0,0.054,4.1,0.0,0.0,Very Poor,PEG,5000,Yes,0.0
INPs-P3,Inorganic,Gold,Passive,Spherical,38.3,Optimal Range,-5.0,Near Neutral,No,9L.E29 cell,Brain,100.0,1.0,Blood,168.0,0.007,1.6,0.0,0.0,Very Poor,PEG,5000,Yes,0.0
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Tumor,0.25,0.14,0.14,1.23,0.0760869565217391,Moderate,No Stealth Effect,Not Exist,No,0.61
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Tumor,1.0,0.44,0.44,1.82,0.1329305135951661,Moderately High,No Stealth Effect,Not Exist,No,1.49
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Tumor,2.0,0.12,0.12,2.14,0.0338983050847457,Poor,No Stealth Effect,Not Exist,No,1.4
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Tumor,4.0,0.09,0.09,1.82,0.0285714285714285,Poor,No Stealth Effect,Not Exist,No,1.33
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Tumor,24.0,0.02,0.02,2.27,0.0031695721077654,Very Poor,No Stealth Effect,Not Exist,No,4.04
INPs-P4,Inorganic,Gold,Passive,Spherical,27.3,Optimal Range,,,No,DU145 cell,Prostate,300.0,7.2,Heart,0.25,0.4519,0.14,1.23,0.0760869565217391,Moderate,No Stealth Effect,Not Exist,No,0.61
